Model,MSO2014
Firmware Version,1.06
Point Format,Y
Horizontal Units,S
Horizontal Scale,"0,00001"
Sample Interval,"0,000000001"
Filter Frequency,100000000.0
Record Length,100000.0
Gating,0.0% to 100.0%
Probe Attenuation,1.0
Vertical Units,V
Vertical Offset,-0.0
Vertical Scale,1.0
Label,
TIME,CH1
-2.02610e-05,-0.0
-2.02600e-05,-0.0
-2.02590e-05,-0.0
-2.02580e-05,-0.0
-2.02570e-05,-0.0
-2.02560e-05,-0.0
-2.02550e-05,-0.0
-2.02540e-05,-0.0
-2.02530e-05,-0.0
-2.02520e-05,-0.0
-2.02510e-05,-0.0
-2.02500e-05,-0.0
-2.02490e-05,-0.0
-2.02480e-05,-0.0
-2.02470e-05,-0.0
-2.02460e-05,-0.0
-2.02450e-05,-0.0
-2.02440e-05,0.04
-2.02430e-05,-0.0
-2.02420e-05,0.04
-2.02410e-05,-0.0
-2.02400e-05,0.04
-2.02390e-05,-0.0
-2.02380e-05,-0.0
-2.02370e-05,-0.0
-2.02360e-05,0.04
-2.02350e-05,-0.0
-2.02340e-05,0.04
-2.02330e-05,0.04
-2.02320e-05,0.04
-2.02310e-05,-0.0
-2.02300e-05,0.04
-2.02290e-05,-0.0
-2.02280e-05,0.04
-2.02270e-05,-0.0
-2.02260e-05,-0.0
-2.02250e-05,-0.0
-2.02240e-05,0.04
-2.02230e-05,-0.0
-2.02220e-05,0.04
-2.02210e-05,-0.0
-2.02200e-05,0.04
-2.02190e-05,-0.0
-2.02180e-05,0.04
-2.02170e-05,-0.0
-2.02160e-05,0.04
-2.02150e-05,-0.0
-2.02140e-05,-0.0
-2.02130e-05,-0.0
-2.02120e-05,-0.0
-2.02110e-05,-0.0
-2.02100e-05,0.04
-2.02090e-05,-0.0
-2.02080e-05,-0.0
-2.02070e-05,-0.0
-2.02060e-05,-0.0
-2.02050e-05,-0.0
-2.02040e-05,0.04
-2.02030e-05,-0.0
-2.02020e-05,-0.0
-2.02010e-05,-0.0
-2.02000e-05,0.04
-2.01990e-05,0.04
-2.01980e-05,0.04
-2.01970e-05,0.04
-2.01960e-05,-0.0
-2.01950e-05,0.04
-2.01940e-05,0.04
-2.01930e-05,0.04
-2.01920e-05,0.04
-2.01910e-05,0.04
-2.01900e-05,0.04
-2.01890e-05,-0.0
-2.01880e-05,-0.0
-2.01870e-05,-0.0
-2.01860e-05,-0.0
-2.01850e-05,0.04
-2.01840e-05,0.04
-2.01830e-05,-0.0
